1,1,비엠더블유,BMW i5 eDrive40 등 13차종 - BCP 컨트롤 유닛(전동식 에어컨 컴프레셔 제어장치) 관련 리콜,6050,O,비엠더블유코리아(주),"BMW i5 eDrive40, BMW i5 M60 xDrive, BMW i5 xDrive40, BMW i7 eDrive50, BMW i7 M70 xDrive, BMW i7 xDrive60, BMW iX M60, BMW iX xDrive40, BMW iX xDrive50, BMW iX1 xDrive30, BMW iX2 eDrive20, MINI Countryman E, MINI Countryman SE ALL4",2020-10-19 ~ 2025-02-27,2026-02-04 ~,"9,914 대",전기장치 기타,"BCP 컨트롤 유닛(전동식 에어컨 컴프레셔 제어장치) 소프트웨어 설계 오류로 인해 일부 작동조건에서 전동식 에어컨 컴프레셔가 잘못 제어되어 고장이 발생할 수 있으며, 이로 인해 매우 드문 경우 차량이 정차 또는 주행 중 고전압 시스템 차단되며, 주행 중인 차량의 경우 서서히 정지될 수 있는 가능성이 확인됨에 따른 리콜 (운전자는 비정상적인 에어컨 컴프레셔 작동 소음이나 에어컨 작동 불량을 통해 고장을 알 수 있으며, 중앙 모니터에 체크 컨트롤 메시지가 표시될 수 있음.)
<대상차량별 생산일자>
BMW i5 eDrive40: 2022.07.29
BMW i5 eDrive40: 2023.06.29~2023.10.25
BMW i5 eDrive40: 2023.07.04~2023.10.17
BMW i5 eDrive40: 2023.10.31~2024.06.27
BMW i5 eDrive40: 2023.11.09~2024.02.23
BMW i5 eDrive40: 2024.06.28~2025.02.25
BMW i5 M60 xDrive: 2023.06.27~2024.06.27
BMW i5 M60 xDrive: 2024.07.05~2025.02.19
BMW i5 xDrive40: 2024.03.07~2024.06.19
BMW i5 xDrive40: 2024.02.14~2024.04.17
BMW i5 xDrive40: 2024.06.27~2025.02.21
BMW i5 xDrive40: 2024.07.11~2025.02.25
BMW i7 eDrive50: 2023.06.30~2024.06.21
BMW i7 eDrive50: 2024.06.27~2025.02.18
BMW i7 M70 xDrive: 2024.04.15
BMW i7 M70 xDrive: 2023.07.28~2024.06.13
BMW i7 M70 xDrive: 2024.07.16~2025.02.21
BMW i7 xDrive60: 2022.02.15
BMW i7 xDrive60: 2022.12.08~2023.02.27
BMW i7 xDrive60: 2022.07.01~2023.06.27
BMW i7 xDrive60: 2023.07.26~2024.06.25
BMW i7 xDrive60: 2024.06.27~2025.02.25
BMW iX M60: 2022.03.29~2022.05.16
BMW iX M60: 2022.12.21~2023.06.22
BMW iX M60: 2023.07.04~2024.06.13
BMW iX M60: 2024.06.27~2025.02.24
BMW iX xDrive40: 2021.08.02~2021.11.18
BMW iX xDrive50: 2020.10.19~2022.09.12
BMW iX xDrive50: 2021.08.05~2022.06.30
BMW iX xDrive50: 2022.06.10~2022.10.28
BMW iX xDrive50: 2022.12.09~2023.02.27
BMW iX xDrive50: 2022.10.21~2023.06.26
BMW iX xDrive50: 2023.06.19~2024.06.25
BMW iX xDrive50: 2024.06.13~2024.12.17
BMW iX1 xDrive30: 2023.03.10
BMW iX1 xDrive30: 2022.11.08~2023.06.29
BMW iX1 xDrive30: 2022.12.13~2023.06.28
BMW iX1 xDrive30: 2023.07.06~2024.06.28
BMW iX1 xDrive30: 2023.07.12~2024.06.21
BMW iX1 xDrive30: 2024.07.04~2025.02.27
BMW iX2 eDrive20: 2024.03.01~2024.06.25
BMW iX2 eDrive20: 2024.07.05~2024.09.16
MINI Countryman E: 2024.02.23~2024.10.25
MINI Countryman SE ALL4: 2023.11.30~2025.02.24","오류가 개선된 소프트웨어로 업데이트하며, 해당 문제의 원인으로 인해 에어컨 고장이 발생된 경우 에어컨 관련 장치를 교체함 (03/2025.71 또는 그 이상 버전이 설치되어 있다면 추가 업데이트가 필요 하지 않음)
<단, 일부 차량의 경우 오류가 개선된 소프트웨어 (SW version 03/2025.71)가 무선 소프트웨어 업데이트 또는 BMW 서비스센터 방문을 통해 이미 완료되었을 수 있으며, 이런 경우 추가 조치가 필요하지 않을 수 있음. 자세한 사항은 제작사 고객센터(080-269-5181)로 문의하여 주시기 바랍니다.>",비엠더블유 대표번호 080-269-5181
2,1,비엠더블유,BMW 220i Active Tourer 등 7차종 - 통합제동장치 관련 리콜,6049,O,비엠더블유코리아(주),"BMW 220i Active Tourer, BMW 530i xDrive, BMW i7 xDrive60, BMW iX1 xDrive30, BMW X1 sDrive20i, BMW X5 xDrive40i, BMW X7 xDrive40i",2023-01-26 ~ 2024-08-16,2026-02-04 ~,10 대,제동장치 기타,"통합제동장치에 장착된 서보모터 위치센서의 품질 결함으로 인해 신호 장애가 발생할 수 있으며, 신호 장애가 발생하면 안전모드로 전환되어 제동 경고등 점등 및 중앙모니터에 체크 컨트롤 메시지가 표시되고 상황에 따라 제동에 필요한 조작력을 더 높여야 할 수 있으며 제동거리가 길어질 수 있음. 이와 동시에 ABS 및 차체 자세 제어(DSC) 기능이 작동하지 않을 수 있는 가능성에 따른 리콜
<대상차량별 생산일자>
BMW 220i Active Tourer: 2023.01.26
BMW 220i Active Tourer: 2024.07.27~2024.08.16
BMW 530i xDrive: 2024.02.14
BMW i7 xDrive60: 2023.09.19
BMW iX1 xDrive30: 2023.06.27
BMW X1 sDrive20i: 2023.05.10
BMW X5 xDrive40i: 2023.08.17
BMW X7 xDrive40i: 2024.05.13
BMW X7 xDrive40i: 2023.03.24",품질이 개선된 통합제동장치로 교체,비엠더블유 대표번호 080-269-5181
3,1,벤츠,Mercedes-AMG E 53 Hybrid 4MATIC+ - 변속기 배선 관련 리콜,6048,O,메르세데스벤츠코리아(주),Mercedes-AMG E 53 Hybrid 4MATIC+,2024-10-29 ~ 2025-01-27,2026-01-30 ~,28 대,전기장치 기타,"개발 및 생산공정 편차로 인해 구동축과 변속기 배선 사이의 간격이 좁을 수 있으며, 이런 경우 변속기 배선이 전방 구동축과 간섭되어 손상될 수 있고 그 결과로 주행 중 차량의 추진력이 상실되어 사고의 위험이 증가할 수 있는 가능성이 확인됨에 따른 리콜",변속기 배선 경로 점검 및 필요 시 재작업,벤츠코리아 대표번호 080-001-1886
4,3,볼보,S90 등 7차종 - 긴급제동장치(AEB) 관련 리콜,6008,O,(주)볼보자동차코리아,"2016~2022년식 S90, V90CC, S60, V60CC, XC60, XC90, XC40",2016-04-29 ~ 2022-05-20,2026-01-26 ~,"50,434 대",제동장치 기타,"AEB 시스템 센서의 한계로 인해 운전자의 불편을 초래할 수 있음이 확인됨. 시스템의 작동 의도를 고려할 때 이러한 한계가 예상될 수 있으나 도로 상태, 혹은 승인되지 않은 블랙박스 및 전면 창유리 틴팅과 같은 외부 요인으로 인한 작동 중단이 발생될 수 있으며, 이런 경우 특정 조건에서 오작동 현상이 발생하여 의도하지 않은 AEB 제동이 발생될 수 있는 가능성이 확인됨에 따른 리콜
<대상차량별 생산일자>
S90: 2016.04.29~2021.05.21
V90CC: 2016.12.02~2021.05.21
S60: 2019.05.17~2022.05.20
V60CC: 2018.11.16~2022.05.20
XC60: 2017.04.28~2021.04.23
XC90: 2015.12.04 ~ 2021-04-23
XC40: 2018.04.27~2022.05.13","AEB 시스템 센서의 한계를 보완하기 위한 소프트웨어 업데이트가 시행될 예정이며, 전면 창유리 파손여부 확인 및 틴팅, 블랙박스/하이패스 위치 변경 등을 포함한 추가적인 안전 조치가 권장될 예정임",볼보자동차코리아 대표번호 1588-1777
5,4,벤츠,AMG G 63 - 엔진 컨트롤 유닛 관련 리콜,6021,O,메르세데스벤츠코리아(주),AMG G 63,2022-09-23 ~ 2024-04-02,2026-01-22 ~,"2,501 대",원동기(동력발생장치) 기타,"엔진 컨트롤 유닛 소프트웨어가 최신 사양에 맞지 않을 수 있으며, 이런 경우 촉매 가열 시 공회전 및 저속 주행 상태에서 실화 불량이 증가할 수 있고 그 결과로 엔진 경고등(MIL)이 점등될 수 있으며 배출가스 요구사항을 충족하지 못할 수 있는 가능성이 확인됨에 따른 리콜",엔진 컨트롤 유닛 소프트웨어 업데이트,벤츠코리아 대표번호 080-001-1886
6,4,볼보,FH 카고 - 앞차축 고정볼트 관련 리콜,6000,O,볼보트럭코리아(주),FH 카고,2025-08-27 ~ 2025-10-28,2026-01-16 ~,32 대,조향장치 기타,"작업자 작업공정 미준수(앞차축 고정볼트 체결불량 가능성 있음)로 인해 주행 중 앞차축에서 소음이 발생할 수 있고, 심할 경우 앞차축이 느슨해짐으로 조향 안정성에 영향을 줄 수 있는 가능성이 확인됨에 따른 리콜",앞차축 고정볼트 점검 및 재조임,볼보트럭 대표번호 080-038-1000
7,4,기아,K3 - 무단 변속기 관련 리콜,5997,O,기아 주식회사,K3 (BD),2018-01-31 ~ 2021-06-03,2026-01-15 ~,"113,793 대",동력전달장치 기타,"무단변속기 제조 불량으로 유압 제어 불안정 문제가 발생할 수 있으며, 이런 경우 발진 시 구동력이 전달되지 않아 안전에 지장을 줄 수 있는 가능성이 확인됨에 따른 리콜","변속기 제어장치 소프트웨어 업데이트 및 관련 고장코트 표출 시 점검 후 변속기 교환
<단. 일부 차량의 경우 이미 리콜에 해당하는 조치가 완료되어 추가 조치는 필요하지 않을 수 있으므로 자세한 사항은 제작사 고객센터(080-200-2000)으로 문의하여 주시기 바랍니다.>",기아자동차 대표번호 080-200-2000
8,5,기아,스포티지 등 2차종 - 바디제어장치(BDC) 관련 리콜,5996,O,기아 주식회사,"스포티지 (NQ5 PE), 스포티지 하이브리드 (NQ5 PE HEV)",2025-06-23 ~ 2025-09-01,2026-01-14 ~,"3,895 대",전기장치 기타,"바디제어장치(BDC) 소프트웨어 설계 오류로 주차(초음파) 센서간 간헐적 통신 불량이 있을 수 있으며, 이런 경우 주차 거리 경고(PDW) 기능이 미작동할 수 있는 가능성이 확인됨에 따른 리콜 (이는 자동차 및 자동차부품의 성능과 기준에 관한 규칙 제53조의2 안전기준에 부적합 할 수 있음)
<대상차량별 생산일자>
스포티지 (NQ5 PE): 2025.06.23~2025.09.01
스포티지 하이브리드 (NQ5 PE HEV): 2025.06.23~2025.08.28","1) 무선 OTA 통한 바디제어장치(BDC) 소프트웨어 업데이트
2) 서비스센터 및 서비스협력사에서 바디제어장치(BDC) 소프트웨어 업데이트",기아자동차 대표번호 080-200-2000
9,5,현대,GV60 - 바디제어장치(BDC) 관련 리콜,5995,O,현대자동차(주),GV60 (JW PE),2025-04-08 ~ 2025-08-22,2026-01-14 ~,50 대,전기장치 기타,"바디제어장치(BDC) 소프트웨어 설계 오류로 주차(초음파) 센서간 간헐적 통신 불량이 있을 수 있으며, 이런 경우 주차 거리 경고(PDW) 기능이 미작동할 수 있는 가능성이 확인됨에 따른 리콜 (이는 자동차 및 자동차부품의 성능과 기준에 관한 규칙 제53조의2 안전기준에 부적합 할 수 있음)",바디제어장치(BDC) 소프트웨어 업데이트,현대자동차 대표번호 080-600-6000
10,5,비엠더블유,BMW 520i 등 3차종 - 통합제동장치 관련 리콜,5994,O,비엠더블유코리아(주),"BMW 520i, BMW X6 xDrive30d M Sport, BMW X7 M60i xDrive",2023-11-30 ~ 2023-12-19,2026-01-13 ~,3 대,제동장치 기타,"통합제동장치에 장착된 서보모터 위치센서의 품질 결함으로 인해 신호 장애가 발생할 수 있으며, 신호 장애가 발생하면 안전모드로 전환되어 제동 경고등 점등 및 중앙모니터에 체크 컨트롤 메시지가 표시되고, 상황에 따라 제동에 필요한 조작력을 더 높여야 할 수 있으며 제동거리가 길어질 수 있음. 이와 동시에 ABS 및 차체 자세 제어(DSC) 기능이 작동하지 않을 수 있는 가능성이 확인됨에 따른 리콜
<대상차량별 생산일자>
BMW 520i: 2023.11.30
BMW X6 xDrive30d M Sport: 2023.12.19
BMW X7 M60i xDrive: 2023.12.08",품질이 개선된 통합제동장치로 교체함,비엠더블유 대표번호 080-269-5181
